Language,Concept,Value,Segments
Erzya,Sehne::N,коське сан,
Erzya,beugen::V,мендемс,
Erzya,versuchen::V,варштамс,
Erzya,Eisen::N,кшни,
Northern Sami,Sehne::N,suotna,
Northern Sami,beugen::V,sojahit,
Northern Sami,versuchen::V,geahččalit,
Northern Sami,Eisen::N,ruovdi,
Bengali,Sehne::N,কণ্ডরা,
Bengali,beugen::V,নোয়া,
Bengali,versuchen::V,পরখ করা,
Bengali,Eisen::N,লোহা,
Latvian,Sehne::N,dzīsla,
Latvian,beugen::V,liekt,
Latvian,versuchen::V,mēģināt,
Latvian,Eisen::N,dzelzs,
